"№","word","translation","progress"
"1","generation","поколение","5"
"2","relative","родственник","5"
"3","attention","внимание","5"
"4","wave","волна","5"
"5","soulmate","родственная душа","5"
"6","promise","обещание","5"
"7","be fond of","любить","5"
"8","fool","болван","5"
"9","honesty","честность","5"
"10","anxiety","тревога","0"
"11","cruelty","жестокость","5"
"12","annoyance","раздражение","5"
"13","care","забота","5"
"14","confidence","уверенность","5"
"15","reliability","надежность","5"
"16","sensitivity","чувствительность","5"
"17","certain","уверенный","5"
"18","unkind","недобрый","5"
"19","technique","техника","5"
"20","judge","судья","5"
